,,,
,ОБЩАЯ протяженность ВОЛС,35437.781,
,ВОЛС 2026,20519.873,
,ВОЛС 2027,14917.908000000001,
№п/п,Наименование проекта/Населенный пункт,Ориентировочная протяженность ВОЛС (км),Год 
,% выполнения,,
,«Обеспечение высокоскоростным доступом к сети Интернет Республики Казахстан»,,
1,Туркестанская область,2141.9750000000004,
1.1,Байдибекский район,352.1700000000001,2026
1.1.1,с.Алгабас,12.94,2026
1.1.2,с.Жана Талап,17.447,2026
1.1.3,с.Жулдыз,4.2,2026
1.1.4,с.Жолгабас,10.1,2026
1.1.5,с.Кенес,22.509,2026
1.1.6,с.Туракты,5.56,2026
1.1.7,с.Танатар,9.5,2026
1.1.8,с.Алмалы,4.66,2026
1.1.9,с.Жарыкбас,12.679,2026
1.1.10,с.Амансай,8.7,2026
1.1.11,Ж.Боролдай,3.92,2026
1.1.12,с.Жыланды,9.1,2026
1.1.13,с.Акжар ,3.92,2026
1.1.14,с.Каратас,10.1,2026
1.1.15,с.Сарыбулак ,8.5,2026
1.1.16,с.Талап,7.61,2026
1.1.17,с.Теректи,5.105,2026
1.1.18,с.Туйетас,19.1,2026
1.1.19,с.Кенсай,4.9,2026
1.1.20,с.Кошкар ата,7.41,2026
1.1.21,с.Жиенкум,16.78,2026
1.1.22,с.Саркырама,16.58,2026
1.1.23,с.Жузимдик,22.86,2026
1.1.24,с.Таскудук,18.7,2026
1.1.25,с.Шыбыт,9.31,2026
1.1.26,с.Мынбулак ,9.87,2026
1.1.27,с.Бестогай,14.1,2026
1.1.28,с.Кайнар ,13.2,2026
1.1.29,с.Косбулак,7.3,2026
1.1.30,с.Мадениет,12.35,2026
1.1.31,с.Шукиршак,9.6,2026
1.1.32,с.Акбулак,13.56,2026
1.2,Жетысайский район,228.3,2027
1.2.1,Байтерек (Алимбетов (Жданов),6.45,2027
1.2.2,Жетіқазына (с.Кызыласкер),4.2,2027
1.2.3,с.Жана даур (Целина) ,6.7,2027
1.2.4,с.Бирлик,3,2027
1.2.5,с.Достык,2.4,2027
1.2.6,Алпамыс (с.Женис),7,2027
1.2.7,Кемер (с.Кирпичное) ,12.7,2027
1.2.8,Күрішті (с.Карисауыл),5,2027
1.2.9,Сырабат (с.Ленинабад),2.9,2027
1.2.10,с.Сайлау,6.2,2027
1.2.11,Сұлу бұлақ (с.Чкалов),4.95,2027
1.2.12,с.Тын дала,10.1,2027
1.2.13,С.Еңбек,6.7,2027
1.2.14,Датқа (с.9 мая),3.2,2027
1.2.15,с.Актобе,9.5,2027
1.2.16,с.Алгабас,2.5,2027
1.2.17,с.Коскудык,2.7,2027
1.2.18,с.Карасакал (Юбилейное),6.1,2027
1.2.19,Жалпаққұм (с.Комсомол),4.1,2027
1.2.20,с.Туркебай,2.7,2027
1.2.21,с.Кызыл  ту,3,2027
1.2.22,Алтынкөл (с.Первомайское),4.7,2027
1.2.23,с.Енбекши,5.8,2027
1.2.24,Қостақыр (с.60 лет Казахстан),7.7,2027
1.2.25,с.Алтынсарин,8.5,2027
1.2.26,с.Шолпан кудык ,4.3,2027
1.2.27,Теміржол (с.Железнодорож.),4.4,2027
1.2.28,с.Тын,4.9,2027
1.2.29,с.Агынсай (Енбекши),12.7,2027
1.2.30,с.Алимбетов,4.8,2027
1.2.31,Байдала (с.Жданов),1.2,2027
1.2.32,с.Кобек (Ленин жол),4.3,2027
1.2.33,Ақжайлау (с.Гагарин),1.7,2027
1.2.34,с.Макталы,1.4,2027
1.2.35,с.Молшылык,0.4,2027
1.2.36,Ақбұлақ (с.Киров),3.4,2027
1.2.37,Жетыкубыр (с.Жамбыл),2.25,2027
1.2.38,с.Жазыксай (Амангелды),3.6,2027
1.2.39,с.Ак жайлау,1.7,2027
1.2.40,с.Жагажай (Достык),8.3,2027
1.2.41,Атажұрт,4.35,2027
1.2.42,с.Жайлау кол (Победа),5.1,2027
1.2.43,с.Саркырама (Багарное),0.2,2027
1.2.44,с.Жибек жолы,12,2027
1.2.45,Ғарышкер (с.Гагарин),8.5,2027
1.2,Казыгуртский район ,284.67,2026
1.3.1,с.Аккум ,10.65,2026
1.3.2,с.Жылыбулак ,14.01,2026
1.3.3,с.Женис,6.7,2026
1.3.4,с.Карабастау ,8.2,2026
1.3.5,с.Тилектес ,6.36,2026
1.3.6,с.Кызылбулак ,17.3,2026
1.3.7,с.Угам,33,2026
1.3.8,Заңғар,7.8,2026
1.3.9,с. Сырлысай,6.9,2026
1.3.10,с.Карабау ,8.7,2026
1.3.11,с.Тугыртас,11.9,2026
1.3.12,с. Атажұрт,9.7,2026
1.3.13,с.Амангелди ,26.3,2026
1.3.14,с.Жанаталап,6.6,2026
1.3.15,с.Кызылдала ,18.6,2026
1.3.16,с.Енбек ,6.35,2026
1.3.17,с.Шанак ,13.1,2026
1.3.18,ст.Шанак,11.2,2026
1.3.19,ст.Шанак,5.8,2026
1.3.20,с.Ыза-булак ,29.7,2026
1.3.21,с.Бака-булак,5.8,2026
1.3.22,с.Майлыошак ,5.2,2026
1.3.23,с.Талдыбулак ,9.1,2026
1.3.24,с.Карабау ,5.7,2026
1.3,Келесский район,293.2,2026
1.4.1,с.Жуантобе,7.75,2026
1.4.2,с.Акжар,7.1,2026
1.4.3,с.М.Горький (кендала),2.5,2026
1.4.4,с.Когерту,4.6,2026
1.4.5,с.Кия жол,2.9,2026
1.4.6,с.Куйган ,5.9,2026
1.4.7,с.Тартогай,12.6,2026
1.4.8,с.Тентексай,6.4,2026
1.4.9,Дихан (Садовая),4.8,2026
1.4.10,Косоткел Социализм,2.5,2026
1.4.11,с.Уш агаш,5.7,2026
1.4.12,с.Шырылдак,4.1,2026
1.4.13,Жабай-тобе,3.9,2026
1.4.14,с.Игилик,4.4,2026
1.4.15,с.Ащыкол,11.3,2026
1.4.16,с.Байгабыл,29.5,2026
1.4.17,с.Калгансыр,10.4,2026
1.4.18,с.Майдабозай,13.7,2026
1.4.19,с Аксу,7.9,2026
1.4.20,с.Алгабас,3.6,2026
1.4.21,с.Аманжар,4.4,2026
